id,admin,cofog,gfsmExpense,programID,type,amount
19283,101002 National Assembly of RA,1.1.1,4.1.1.1,1010101,personnel,1313537200
19284,101002 National Assembly of RA,1.1.1,4.1.1.3,1010101,personnel,28617600
19285,101002 National Assembly of RA,1.1.1,4.1.3.1,1010101,personnel,190986000
19286,101002 National Assembly of RA,1.1.1,4.2.1.2,1010101,non-personnel recurrent,133670400
19287,101002 National Assembly of RA,1.1.1,4.2.1.3,1010101,non-personnel recurrent,32341800
19288,101002 National Assembly of RA,1.1.1,4.2.1.4,1010101,non-personnel recurrent,128983400
19289,101002 National Assembly of RA,1.1.1,4.2.1.5,1010101,non-personnel recurrent,4320000
19290,101002 National Assembly of RA,1.1.1,4.2.1.6,1010101,non-personnel recurrent,14580100
19291,101002 National Assembly of RA,1.1.1,4.2.2.0,1010101,non-personnel recurrent,350000000
19292,101002 National Assembly of RA,1.1.1,4.2.2.2,1010101,non-personnel recurrent,0
19293,101002 National Assembly of RA,1.1.1,4.2.3.1,1010101,non-personnel recurrent,6000000
19294,101002 National Assembly of RA,1.1.1,4.2.3.2,1010101,non-personnel recurrent,3000000
19295,101002 National Assembly of RA,1.1.1,4.2.3.4,1010101,non-personnel recurrent,15856000
19296,101002 National Assembly of RA,1.1.1,4.2.3.7,1010101,non-personnel recurrent,195000000
19297,101002 National Assembly of RA,1.1.1,4.2.5.2,1010101,non-personnel recurrent,8000000
19298,101002 National Assembly of RA,1.1.1,4.2.6.1,1010101,non-personnel recurrent,52862200
19299,101002 National Assembly of RA,1.1.1,4.2.6.2,1010101,non-personnel recurrent,5653000
19300,101002 National Assembly of RA,1.1.1,4.2.6.4,1010101,non-personnel recurrent,123958400
19301,101002 National Assembly of RA,1.1.1,4.2.6.7,1010101,non-personnel recurrent,19344600
19302,101002 National Assembly of RA,1.1.1,4.2.6.9,1010101,non-personnel recurrent,38333800
19303,101002 National Assembly of RA,1.1.1,4.7.2.9,1010101,non-personnel recurrent,23580000
19304,101002 National Assembly of RA,1.1.1,4.8.2.0,1010101,non-personnel recurrent,869000
19305,101002 National Assembly of RA,1.1.1,4.8.2.3,1010101,non-personnel recurrent,0
19306,101002 National Assembly of RA,1.1.1,4.8.6.1,1010101,non-personnel recurrent,50000000
19307,105034 Control Chamber of RA,1.1.1,4.1.1.1,1010102,personnel,612242000
19308,105034 Control Chamber of RA,1.1.1,4.1.1.3,1010102,personnel,47205600
19309,105034 Control Chamber of RA,1.1.1,4.1.3.1,1010102,personnel,60452400
19310,105034 Control Chamber of RA,1.1.1,4.2.1.2,1010102,non-personnel recurrent,2621500
19311,105034 Control Chamber of RA,1.1.1,4.2.1.4,1010102,non-personnel recurrent,14469900
19312,105034 Control Chamber of RA,1.1.1,4.2.1.5,1010102,non-personnel recurrent,640000
19313,105034 Control Chamber of RA,1.1.1,4.2.1.6,1010102,non-personnel recurrent,25812000
19314,105034 Control Chamber of RA,1.1.1,4.2.2.0,1010102,non-personnel recurrent,53892200
19315,105034 Control Chamber of RA,1.1.1,4.2.2.1,1010102,non-personnel recurrent,0
19316,105034 Control Chamber of RA,1.1.1,4.2.2.2,1010102,non-personnel recurrent,0
19317,105034 Control Chamber of RA,1.1.1,4.2.3.1,1010102,non-personnel recurrent,620000
19318,105034 Control Chamber of RA,1.1.1,4.2.3.2,1010102,non-personnel recurrent,1967800
19319,105034 Control Chamber of RA,1.1.1,4.2.3.4,1010102,non-personnel recurrent,4923600
19320,105034 Control Chamber of RA,1.1.1,4.2.3.5,1010102,non-personnel recurrent,5000000
19321,105034 Control Chamber of RA,1.1.1,4.2.3.7,1010102,non-personnel recurrent,1500000
19322,105034 Control Chamber of RA,1.1.1,4.2.5.2,1010102,non-personnel recurrent,4024000
19323,105034 Control Chamber of RA,1.1.1,4.2.6.1,1010102,non-personnel recurrent,6459900
19324,105034 Control Chamber of RA,1.1.1,4.2.6.4,1010102,non-personnel recurrent,15200000
19325,105034 Control Chamber of RA,1.1.1,4.2.6.7,1010102,non-personnel recurrent,2207400
19326,105034 Control Chamber of RA,1.1.1,4.8.2.0,1010102,non-personnel recurrent,176000
19327,105034 Control Chamber of RA,1.1.1,4.8.2.3,1010102,non-personnel recurrent,0
19328,101001 Staff of President of RA,1.1.1,4.1.1.1,1010103,personnel,530901500
19329,101001 Staff of President of RA,1.1.1,4.1.1.3,1010103,personnel,18259700
19330,101001 Staff of President of RA,1.1.1,4.1.3.1,1010103,personnel,81035400
19331,101001 Staff of President of RA,1.1.1,4.2.1.2,1010103,non-personnel recurrent,91126700
19332,101001 Staff of President of RA,1.1.1,4.2.1.3,1010103,non-personnel recurrent,11412000
19333,101001 Staff of President of RA,1.1.1,4.2.1.4,1010103,non-personnel recurrent,74752500
19334,101001 Staff of President of RA,1.1.1,4.2.1.5,1010103,non-personnel recurrent,2737000
19335,101001 Staff of President of RA,1.1.1,4.2.1.6,1010103,non-personnel recurrent,25000000
19336,101001 Staff of President of RA,1.1.1,4.2.2.0,1010103,non-personnel recurrent,579133200
19337,101001 Staff of President of RA,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19338,101001 Staff of President of RA,1.1.1,4.2.2.2,1010103,non-personnel recurrent,0
19339,101001 Staff of President of RA,1.1.1,4.2.3.1,1010103,non-personnel recurrent,11000000
19340,101001 Staff of President of RA,1.1.1,4.2.3.2,1010103,non-personnel recurrent,1550000
19341,101001 Staff of President of RA,1.1.1,4.2.3.4,1010103,non-personnel recurrent,20000000
19342,101001 Staff of President of RA,1.1.1,4.2.3.5,1010103,non-personnel recurrent,33000000
19343,101001 Staff of President of RA,1.1.1,4.2.3.6,1010103,non-personnel recurrent,17000000
19344,101001 Staff of President of RA,1.1.1,4.2.3.7,1010103,non-personnel recurrent,225940000
19345,101001 Staff of President of RA,1.1.1,4.2.5.1,1010103,non-personnel recurrent,25000000
19346,101001 Staff of President of RA,1.1.1,4.2.5.2,1010103,non-personnel recurrent,434179200
19347,101001 Staff of President of RA,1.1.1,4.2.6.1,1010103,non-personnel recurrent,31366500
19348,101001 Staff of President of RA,1.1.1,4.2.6.2,1010103,non-personnel recurrent,2666500
19349,101001 Staff of President of RA,1.1.1,4.2.6.4,1010103,non-personnel recurrent,138048600
19350,101001 Staff of President of RA,1.1.1,4.2.6.7,1010103,non-personnel recurrent,35100000
19351,101001 Staff of President of RA,1.1.1,4.5.1.1,1010103,non-personnel recurrent,254718800
